inStock,categories/0/name,id,name,price,shortDescription,url,images/0/src,images/1/src,images/2/src,images/3/src,images/4/src,(empty)
,,4083,Samsung 32 inch 32T5300 Smart TV,23799,"Smart tv, HDR powerful processor, web browser, HDMI, USB, ethernet inbuilt wifi, Bixby",https://avechi.co.ke/product/samsung-32-inch-32t5300-smart-tv/,https://avechi.co.ke/wp-content/uploads/2021/10/Samsung-32T5300-32-inch-1080p-Full-HD-TV-Smart-TV1-1.jpg,https://avechi.co.ke/wp-content/uploads/2021/10/Spenny-Product-Template-35-2.jpg,(empty),(empty),(empty),
,,4990,Sony 43W660 Full HD Smart LED TV,47699,"4K HDR processor X1, Triluminos display,
Full array LED with local dimming, smart android TV",https://avechi.co.ke/product/sony-43w660-full-hd-smart-led-tv/,https://avechi.co.ke/wp-content/uploads/2021/12/Sony-50w660-tv.jpg,(empty),(empty),(empty),(empty),
,,4995,Smartview 32 inch Android Smart TV,13499,"Broadcasting PVR Recording WiFi Smart TV
HDMI,USB ports, built in WIFI",https://avechi.co.ke/product/smartview-32-inch-android-smart-tv/,https://avechi.co.ke/wp-content/uploads/2021/12/Smartview-TV-1.jpg,(empty),(empty),(empty),(empty),
,,5017,Hisense 43 inch  43A6GKEN 4K Smart  TV,40799,"Game Mode, VIDAA U OS, Quad-core processor, Any view Cast
HDR Plus, Netflix, Youtube, inbuilt wifi
4K",https://avechi.co.ke/product/hisense-43-inch-43a6gken-smart-4k-frameless-tv/,https://avechi.co.ke/wp-content/uploads/2021/12/Hisense-43-inch-43A6GKEN-Smart-Frameless-TV-1.jpg,(empty),(empty),(empty),(empty),
,,5020,Hisense 32A60KEN 32 inch Smart TV,21399,"32 inch Full Array LED Backlight LCD, Built-in Wi-Fi, LAN (Ethernet)
HDMI 2, USB 1, RF Antenna 1, RCA Composite Video Input 1, inbuilt channels",https://avechi.co.ke/product/hisense-32a60ken-32-inch-smart-tv/,https://avechi.co.ke/wp-content/uploads/2021/12/Hisense-32-inch-smart-Led-TV-1.jpg,(empty),(empty),(empty),(empty),
,,5037,TCL 50 inch 50P615 4k UHD Smart Android TV,47699,"Google playstore, Chromecast, inbuilt wifi, Netflix Youtube, USB, HDMI, VGA
Quad Core Processor 4k, AI ThinQ True Cinema Experience, Ultra Sound WebOS",https://avechi.co.ke/product/tcl-50-inch-50p615-4k-uhd-smart-android-tv/,https://avechi.co.ke/wp-content/uploads/2021/12/tcl-50.jpg,(empty),(empty),(empty),(empty),
,,8426,LG 43LM5772 Full HD Smart TV,47199,"Dynamic Color Enhancer, Virtual Surround Plus, Dolby Audio
Quad-core processor, Magic Remote support, Voice control",https://avechi.co.ke/product/lg-43lm5772-full-hd-smart-tv/,https://avechi.co.ke/wp-content/uploads/2022/01/LG-43UP7550-43-Inch-4K-with-WebOS-Smart-TV-1-1.jpg,(empty),(empty),(empty),(empty),
,,8427,LG 43 inch 43UP7550 TV 4K Smart UHD with WebOS,51499,"Real 4K UHD picture, colour and depth, ?5 AI Processor 4k with AI 4K upscaling, ThinQ AI webOS Smart TV with Magic Remote, True Cinema Experience suported with Active HDR , Film Maker Mode , AI Sound",https://avechi.co.ke/product/lg-43-inch-43up7550-tv-4k-smart-uhd-with-webos/,https://avechi.co.ke/wp-content/uploads/2022/01/LG-43UP7550-43-Inch-4K-with-WebOS-Smart-TV-1-2.jpg,(empty),(empty),(empty),(empty),
,,9304,Lg 43 inch 43UN7106 Smart 4K UHD webOS TV,51399,"43&#8221; 4k uhd smart 4k tv
2160P 4K resolution
dobly audio sound
&nbsp;",https://avechi.co.ke/product/lg-43-43un7106-smart-4k-uhd-webos-tv/,https://avechi.co.ke/wp-content/uploads/2022/02/zoom_011.jpg,(empty),(empty),(empty),(empty),
,,9368,Hisense 43A60KEN 43 inch Frameless Smart TV,39799,"Screen Size: 43"" Display, Display Type: FHD, Resolution: 1920x1080p",https://avechi.co.ke/product/hisense-43a60ken-43-inch-frameless-smart-tv-2/,https://avechi.co.ke/wp-content/uploads/2022/02/800.jpg,(empty),(empty),(empty),(empty),
,,9654,TCL 43 inch 43p615 4K smart android TV,38599,"smart android tv, 4k uhd, bluetooth, Dolby audio and smart voice",https://avechi.co.ke/product/tcl-43-inch-43p615-4k-smart-android/,https://avechi.co.ke/wp-content/uploads/2022/02/Tcl-43-inch-43p615-4K-smart-android-TV-1.jpg,(empty),(empty),(empty),(empty),
,,9672,Nobel 40 inch smart android tv,20399,"Netflix, YouTube, built in wifi, inbuilt channels",https://avechi.co.ke/product/nobel-40-inch-smart-android-tv/,https://avechi.co.ke/wp-content/uploads/2022/02/smart-tv-500x500-1.jpg,(empty),(empty),(empty),(empty),
,,9773,TCL 43 inch 43D3000 HD Digital TV,27299,"TCL 43&#8221; 43D3000 hd digital tv, Digital DVBT2, hdmi, usb",https://avechi.co.ke/product/tcl-43-inch-43d3000-hd-digital-tv/,https://avechi.co.ke/wp-content/uploads/2022/02/1-71.jpg,(empty),(empty),(empty),(empty),
,,10221,Tcl 32 Inch 32S65A Frameless Android Smart TV,20399,"Android tv, Google assistant, HDR, Youtube, Netflix, One year warranty",https://avechi.co.ke/product/tcl-32-inch-32s65a-frameless-android-smart-tv/,https://avechi.co.ke/wp-content/uploads/2022/02/tv-affordable-chinese1.jpg,(empty),(empty),(empty),(empty),
,,10275,TCL 40 Inch 40S65A Smart Android TV,30499,"Smart android tv
youtube
Netflix
On year warranty",https://avechi.co.ke/product/tcl-40-inch-40s65a-smart-android-tv/,https://avechi.co.ke/wp-content/uploads/2022/02/tcl-40.jpg,(empty),(empty),(empty),(empty),
,,10283,Tcl 43 Inch 43S65A Smart Android TV,32099,"Full Screen,  AI-IN, YouTube, Netflix, Android TV",https://avechi.co.ke/product/tcl-43-inch-43s65a-smart-android-tv/,https://avechi.co.ke/wp-content/uploads/2022/02/tcl-40-1.jpg,(empty),(empty),(empty),(empty),
,,10305,Lg 43 Inch 43UP7750 Uhd smart 4K TV,52499,"Quad Core Processor 4K, Filmmaker mode, Ultra Surround Sound, HDR 10 Pro &amp; HLG Pro, AI ThinQ

&nbsp;",https://avechi.co.ke/product/lg-43-inch-43up7750-uhd-smart-4k/,https://avechi.co.ke/wp-content/uploads/2022/02/lg4343.jpg,(empty),(empty),(empty),(empty),
,,10358,Hisense 43 Inch 43A4GKEN Frameless Smart TV,37499,"Netflix, Youtube, built in wifi,Full hd, One year warranty",https://avechi.co.ke/product/hisense-43-inch-43a4gken-frameless-smart-tv/,https://avechi.co.ke/wp-content/uploads/2022/03/43-smart-frss1.jpg,https://avechi.co.ke/wp-content/uploads/2022/08/Hisense-32-Inch-32A4HKEN-Smart-TV-b-1.jpg,https://avechi.co.ke/wp-content/uploads/2022/09/Hisense-65-Inch-65A62G-4K-UHD-Smart-TV-b-1.jpg,https://avechi.co.ke/wp-content/uploads/2022/09/Hisense-65-Inch-65A62G-4K-UHD-Smart-TV-price-1.jpg,(empty),
,,11591,Samsung 43 inch 43T5300 FHD Smart TV,36099,"43"" inch FHD, Smart TV, HDR
PurColor, Ultra Clean View, Contrast Enhancer",https://avechi.co.ke/product/samsung-43-inch-43t5300-fhd-smart-tv/,https://avechi.co.ke/wp-content/uploads/2022/03/8844901202505_main_480Wx480H1.jpg,https://avechi.co.ke/wp-content/uploads/2022/03/Samsung-43-inch-43T5300-FHD-Smart-TV.jpg,https://avechi.co.ke/wp-content/uploads/2022/03/Samsung-43-inch-43T5300-FHD-Smart-TV-b-1.jpg,https://avechi.co.ke/wp-content/uploads/2022/03/Samsung-43-inch-43T5300-FHD-Smart-TV-c-1.jpg,(empty),
,,11649,Xiaomi 43 Inch P1 L43M6–6AEU Frameless Smart 4K Android TV,39999,"3840 x 2160 pixels, 10W + 10W; Dolby audio, DTS
Dual-band WiFi, Bluetooth 5.0, HDMI port, 3 ports; HDMI ARC USB port, 3 ports; USB 2.0",https://avechi.co.ke/product/xiaomi-43-inch-p1-frameless-smart-4k-android-tv/,https://avechi.co.ke/wp-content/uploads/2022/03/xiaomi-43.jpg,https://avechi.co.ke/wp-content/uploads/2022/03/Xiaomi-Tv.jpg,https://avechi.co.ke/wp-content/uploads/2022/03/xiaomi-mi-led-tv-4s-65-4k-ultrahd-smart-tv-1.jpg,https://avechi.co.ke/wp-content/uploads/2022/03/xiaomi-mi-led-tv-4s-65-4k-ultrahd-smart-tv-back-kenya-1.jpg,(empty),
,,11691,Vision Plus 40 inch Vidaa Smart TV,24699,"V+ OS, Full HD TV 1080p, Great infographics
Built-in WiFi, Screen and Content sharing, Dolby Sound",https://avechi.co.ke/product/vision-plus-40-inch-vidaa-smart-tv/,https://avechi.co.ke/wp-content/uploads/2022/03/Vision-Plus-40-inch-Vidaa-Smart-TV-1.jpg,https://avechi.co.ke/wp-content/uploads/2022/04/Vision-Plus-43-Inch-Frameless-Smart-4K-VIDAA-TV-b-1.jpg,https://avechi.co.ke/wp-content/uploads/2022/04/Vision-Plus-43-Inch-Frameless-Smart-4K-VIDAA-TV-price-1.jpg,https://avechi.co.ke/wp-content/uploads/2022/04/Vision-Plus-43-Inch-Frameless-Smart-4K-VIDAA-TV-back-1.jpg,(empty),
