ID,Name,Brand,Color,Variants,image_name,ImageName,ImageExt,ImageWsrv,Currency,Price,StockStatus,StockQuantity,Categories,Description,spec1,spec2,spec3,spec4,spec5,spec6,spec7,Image1,Image2,Image3,Image4
7013,Pure Musk,,,"Volume: 100ML | Scent: Floral, Musky",pure-musk-eau-de-parfum-100ml-unisex.jpg,pure-musk-eau-de-parfum-100ml-unisex,jpg,https://wsrv.nl/?url=https%3A%2F%2Fmiddleeasternscents.co.ke%2Fwp-content%2Fuploads%2F2026%2F02%2Fpure-musk-eau-de-parfum-100ml-unisex-768x768.jpg&w=768&fit=contain&trim=10&output=png,KShs,300000,instock,,"Fragrance, Unisex","The top notes of floral musk and white musk enchant the senses, leading to the heart of pure musk that adds a touch of mystery. Finally, the sweet musk base notes leave a lasting impression, creating a truly captivating scent that is perfect for those who appreciate the finer things in life.",Volume: 100ML,"Scent: Floral, Musky",,,,,,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/pure-musk-eau-de-parfum-100ml-unisex.jpg,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/pure-musk-eau-de-parfum-100ml-unisex-768x768.jpg,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/pure-musk-3.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/pure-musk-3-768x961.webp
7009,Turathi (Blue),,,"Volume: 100ML | Scent: Citrusy, Fresh, Fruity",afnan-turathi-brown-homme.webp,afnan-turathi-brown-homme,webp,https://wsrv.nl/?url=https%3A%2F%2Fmiddleeasternscents.co.ke%2Fwp-content%2Fuploads%2F2026%2F02%2Fafnan-turathi-brown-homme-768x768.webp&w=768&fit=contain&trim=10&output=png,KShs,450000,instock,,"Fragrance, Male, Unisex","Top notes: Bergamot and Mandarin. Middle notes: Amber and Woody. Base notes: Musk, Patchouli and Fresh Spicy.",Top notes: Bergamot and Mandarin.,Middle notes: Amber and Woody.,"Base notes: Musk, Patchouli and Fresh Spicy.","Base notes: Musk, Patchouli and Fresh Spicy. 100ml",Volume: 100ML,"Scent: Citrusy, Fresh, Fruity",,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/afnan-turathi-brown-homme.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/afnan-turathi-brown-homme-768x768.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/afnan-turathi-blue-eau-de-parfum.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/afnan-turathi-blue-eau-de-parfum-768x960.webp
7003,Éclair Affair,,,"Scent: Creamy, Gourmand, Vanilla",eclair-affair-french-avenue.webp,eclair-affair-french-avenue,webp,https://wsrv.nl/?url=https%3A%2F%2Fmiddleeasternscents.co.ke%2Fwp-content%2Fuploads%2F2026%2F02%2Feclair-affair-french-avenue-768x768.webp&w=768&fit=contain&trim=10&output=png,KShs,350000,instock,,"Female, Fragrance","Top notes: Vanilla Bean, Coconut Milk and Jasmine. Middle notes: Caramel, Gourmand Accord and Amber. Base notes: Vanilla, Tonka Bean and Musk.","Top notes: Vanilla Bean, Coconut Milk and Jasmine.","Middle notes: Caramel, Gourmand Accord and Amber.","Base notes: Vanilla, Tonka Bean and Musk.","Scent: Creamy, Gourmand, Vanilla",,,,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/eclair-affair-french-avenue.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/eclair-affair-french-avenue-768x768.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/eclaire-affair.jpg,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/eclaire-affair-768x1364.jpg
6997,Durrah,,,Scent: Floral Fruity,lattafa-niche-emarati-durrah-perfume-1.webp,lattafa-niche-emarati-durrah-perfume-1,webp,https://wsrv.nl/?url=https%3A%2F%2Fmiddleeasternscents.co.ke%2Fwp-content%2Fuploads%2F2026%2F02%2Flattafa-niche-emarati-durrah-perfume-1-768x768.webp&w=768&fit=contain&trim=10&output=png,KShs,490000,instock,,"Female, Fragrance","Top notes: Peach and Peony. Middle notes: Osmanthus, Heliotrope and Jasmine. Base notes: Musk and Patchouli.",Top notes: Peach and Peony.,"Middle notes: Osmanthus, Heliotrope and Jasmine.",Base notes: Musk and Patchouli.,Base notes: Musk and Patchouli. Niche Emarati Perfumes by Lattafa,Scent: Floral Fruity,,,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/lattafa-niche-emarati-durrah-perfume-1.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/lattafa-niche-emarati-durrah-perfume-1-768x768.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/lattafa-durrah-niche-emarati-fragrance-bottle.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/lattafa-durrah-niche-emarati-fragrance-bottle-768x768.webp
6934,Grey Pearl Diamond,,,,grey-pearl-diamond-200ml-ibrahim-al-qurashi-parfum-2.webp,grey-pearl-diamond-200ml-ibrahim-al-qurashi-parfum-2,webp,https://wsrv.nl/?url=https%3A%2F%2Fmiddleeasternscents.co.ke%2Fwp-content%2Fuploads%2F2026%2F02%2Fgrey-pearl-diamond-200ml-ibrahim-al-qurashi-parfum-2-768x768.webp&w=768&fit=contain&trim=10&output=png,KShs,800000,instock,,"Fragrance, Unisex","Top notes are Benzoin and Aquatic notes; middle notes are Rose, Jasmine and Patchouli; base notes are Agarwood, Incense and Spices.",,,,,,,,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/grey-pearl-diamond-200ml-ibrahim-al-qurashi-parfum-2.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/grey-pearl-diamond-200ml-ibrahim-al-qurashi-parfum-2-768x768.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/grey-pearl-diamond-150ml-200ml-ibrahim-al-qurashi.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/grey-pearl-diamond-150ml-200ml-ibrahim-al-qurashi-768x768.webp
6931,Blue Diamond Aqua,,,,s-l1600-2.webp,s-l1600-2,webp,https://wsrv.nl/?url=https%3A%2F%2Fmiddleeasternscents.co.ke%2Fwp-content%2Fuploads%2F2026%2F02%2Fs-l1600-2-768x768.webp&w=768&fit=contain&trim=10&output=png,KShs,800000,instock,,Unisex,"Top notes are Sea Notes, Saffron and Bergamot; middle notes are Citruses, Rosemary and Ylang Ylang; base notes are Incense, Musk and Patchouli.",,,,,,,,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/s-l1600-2.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/s-l1600-2-768x768.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/blue-diamond-aqua.avif,
6928,Arabian knight,,,,arabian-knight.webp,arabian-knight,webp,https://wsrv.nl/?url=https%3A%2F%2Fmiddleeasternscents.co.ke%2Fwp-content%2Fuploads%2F2026%2F02%2Farabian-knight-768x768.webp&w=768&fit=contain&trim=10&output=png,KShs,1000000,instock,,"Fragrance, Male","Top notes are Citron and Jasmine; middle notes are Cinnamon and Rose; base notes are Amber, Cedar, Vanilla and Musk.",,,,,,,,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/arabian-knight.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/arabian-knight-768x768.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/arabian-knight.avif,
6925,Arabian knight silver,,,,Arabian-knight-silver-2.webp,Arabian-knight-silver-2,webp,https://wsrv.nl/?url=https%3A%2F%2Fmiddleeasternscents.co.ke%2Fwp-content%2Fuploads%2F2026%2F02%2FArabian-knight-silver-2-768x768.webp&w=768&fit=contain&trim=10&output=png,KShs,1000000,instock,,"Fragrance, Male","Top notes are Bergamot and Geranium; middle notes are Amber, Cashmeran and Sandalwood; base notes are Vanilla, Musk and Patchouli.",,,,,,,,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/Arabian-knight-silver-2.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/Arabian-knight-silver-2-768x768.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/Arabian-knight-silver.avif,
6911,Italia,,,,Italia-scaled.webp,Italia-scaled,webp,https://wsrv.nl/?url=https%3A%2F%2Fmiddleeasternscents.co.ke%2Fwp-content%2Fuploads%2F2026%2F02%2FItalia-768x768.webp&w=768&fit=contain&trim=10&output=png,KShs,250000,instock,,"Fragrance, Male","Top: Lavender, Bergamot and Lemon Middle: Honey, Cinnamon, Cashmeran and Jasmine Sambac Base: Tobacco Leaf, Vanilla and Tonka Bean","Top: Lavender, Bergamot and Lemon","Middle: Honey, Cinnamon, Cashmeran and Jasmine Sambac","Base: Tobacco Leaf, Vanilla and Tonka Bean",,,,,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/Italia-scaled.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/Italia-768x768.webp,,
6908,Nocturno,,,,Nocturnoremove.webp,Nocturnoremove,webp,https://wsrv.nl/?url=https%3A%2F%2Fmiddleeasternscents.co.ke%2Fwp-content%2Fuploads%2F2026%2F02%2Fnocturno-768x768.webp&w=768&fit=contain&trim=10&output=png,KShs,280000,instock,,"Fragrance, Male","Top: Bergamot,Mint and Pepper Middle: Lavender, Geranium and Pink Pepper Base: Amberwood and Cedar","Top: Bergamot,Mint and Pepper","Middle: Lavender, Geranium and Pink Pepper",Base: Amberwood and Cedar,,,,,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/Nocturnoremove.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/nocturno.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/nocturno-768x768.webp,
